0x8000059c:bne    t0,t1,0xfee       (0x80000869!=0x80000870)=1->pc=0x80000578
0x80000578:lb    t2,0x002(t0)   t2=mem[0x8000086b]=0xffffffaa
0x8000057c:lh    t3,0x003(t0)   t3=mem[0x8000086c]=0xffffccdd
0x80000580:lw     t3,0x004(t0)        t3=mem[0x8000086d]=0xddaabbcc
0x80000584:lbu    t4,0x005(t0)   t4=mem[0x8000086e]=0x000000bb
0x80000588:lhu    t5,0x006(t0)   t5=mem[0x8000086f]=0x0000ddaa
0x8000058c:sb    t2,0xfff(t0)   mem[0x80000868]=0xffffffaa
0x80000590:sh    t3,0xffe(t0)   mem[0x80000867]=0xddaabbcc
0x80000594:sw     t4,0xffc(t0)        mem[0x80000865]=0x000000bb
0x80000598:addi   t0,t0,0x001         t0=0x80000869+0x00000001=0x8000086a
0x8000059c:bne    t0,t1,0xfee       (0x8000086a!=0x80000870)=1->pc=0x80000578
0x80000578:lb    t2,0x002(t0)   t2=mem[0x8000086c]=0xffffffdd
0x8000057c:lh    t3,0x003(t0)   t3=mem[0x8000086d]=0xffffbbcc
0x80000580:lw     t3,0x004(t0)        t3=mem[0x8000086e]=0xccddaabb
0x80000584:lbu    t4,0x005(t0)   t4=mem[0x8000086f]=0x000000aa
0x80000588:lhu    t5,0x006(t0)   t5=mem[0x80000870]=0x0000ccdd
0x8000058c:sb    t2,0xfff(t0)   mem[0x80000869]=0xffffffdd
0x80000590:sh    t3,0xffe(t0)   mem[0x80000868]=0xccddaabb
0x80000594:sw     t4,0xffc(t0)        mem[0x80000866]=0x000000aa
0x80000598:addi   t0,t0,0x001         t0=0x8000086a+0x00000001=0x8000086b
0x8000059c:bne    t0,t1,0xfee       (0x8000086b!=0x80000870)=1->pc=0x80000578
0x80000578:lb    t2,0x002(t0)   t2=mem[0x8000086d]=0xffffffcc
0x8000057c:lh    t3,0x003(t0)   t3=mem[0x8000086e]=0xffffaabb
0x80000580:lw     t3,0x004(t0)        t3=mem[0x8000086f]=0xbbccddaa
0x80000584:lbu    t4,0x005(t0)   t4=mem[0x80000870]=0x000000dd
0x80000588:lhu    t5,0x006(t0)   t5=mem[0x80000871]=0x0000bbcc
0x8000058c:sb    t2,0xfff(t0)   mem[0x8000086a]=0xffffffcc
0x80000590:sh    t3,0xffe(t0)   mem[0x80000869]=0xbbccddaa
0x80000594:sw     t4,0xffc(t0)        mem[0x80000867]=0x000000dd
0x80000598:addi   t0,t0,0x001         t0=0x8000086b+0x00000001=0x8000086c
0x8000059c:bne    t0,t1,0xfee       (0x8000086c!=0x80000870)=1->pc=0x80000578
0x80000578:lb    t2,0x002(t0)   t2=mem[0x8000086e]=0xffffffbb
0x8000057c:lh    t3,0x003(t0)   t3=mem[0x8000086f]=0xffffddaa
0x80000580:lw     t3,0x004(t0)        t3=mem[0x80000870]=0xaabbccdd
0x80000584:lbu    t4,0x005(t0)   t4=mem[0x80000871]=0x000000cc
0x80000588:lhu    t5,0x006(t0)   t5=mem[0x80000872]=0x0000aabb
0x8000058c:sb    t2,0xfff(t0)   mem[0x8000086b]=0xffffffbb
0x80000590:sh    t3,0xffe(t0)   mem[0x8000086a]=0xaabbccdd
0x80000594:sw     t4,0xffc(t0)        mem[0x80000868]=0x000000cc
0x80000598:addi   t0,t0,0x001         t0=0x8000086c+0x00000001=0x8000086d
0x8000059c:bne    t0,t1,0xfee       (0x8000086d!=0x80000870)=1->pc=0x80000578
0x80000578:lb    t2,0x002(t0)   t2=mem[0x8000086f]=0xffffffaa
0x8000057c:lh    t3,0x003(t0)   t3=mem[0x80000870]=0xffffccdd
0x80000580:lw     t3,0x004(t0)        t3=mem[0x80000871]=0x00aabbcc
0x80000584:lbu    t4,0x005(t0)   t4=mem[0x80000872]=0x000000bb
0x80000588:lhu    t5,0x006(t0)   t5=mem[0x80000873]=0x000000aa
0x8000058c:sb    t2,0xfff(t0)   mem[0x8000086c]=0xffffffaa
0x80000590:sh    t3,0xffe(t0)   mem[0x8000086b]=0x00aabbcc
0x80000594:sw     t4,0xffc(t0)        mem[0x80000869]=0x000000bb
0x80000598:addi   t0,t0,0x001         t0=0x8000086d+0x00000001=0x8000086e
0x8000059c:bne    t0,t1,0xfee       (0x8000086e!=0x80000870)=1->pc=0x80000578
0x80000578:lb    t2,0x002(t0)   t2=mem[0x80000870]=0xffffffdd
0x8000057c:lh    t3,0x003(t0)   t3=mem[0x80000871]=0xffffbbcc
0x80000580:lw     t3,0x004(t0)        t3=mem[0x80000872]=0x0000aabb
0x80000584:lbu    t4,0x005(t0)   t4=mem[0x80000873]=0x000000aa
0x80000588:lhu    t5,0x006(t0)   t5=mem[0x80000874]=0x00000000
0x8000058c:sb    t2,0xfff(t0)   mem[0x8000086d]=0xffffffdd
